direction,method,step_label,function,area_rel_l2,tempest_finest_error,finest_error_ratio_vs_tempest,fitted_order,r2
ICOD_to_CS_4level,irno,corrected_lmax24,smooth2,0.0007838762915178,9.940774181344356e-05,7.885465228542102,0.190861029124617,0.1100844081337687
ICOD_to_CS_4level,irno,corrected_lmax24,x,0.0010447613184635,0.0002945983148865,3.5463927173718415,0.619499764998229,0.7198109521997034
ICOD_to_CS_4level,irno,corrected_lmax24,y,0.0011631216061067,0.0002943117537682,3.952005284242827,0.5837657762115183,0.6758596048502108
ICOD_to_CS_4level,irno,corrected_lmax24,z,0.0010655783610102,0.0003972357448102,2.6824835753875456,0.6724032273888009,0.8160308460912109
ICOD_to_CS_4level,irno,corrected_lmax8,smooth1,0.0006752045456848,7.8003388429233e-05,8.65609250164005,0.27341464070981,0.1886178273418224
ICOD_to_CS_4level,irno,corrected_lmax8,smooth2,0.0006732516082141,9.940774181344356e-05,6.772627523091484,0.2998414060188434,0.2170509177749989
ICOD_to_CS_4level,irno,corrected_lmax8,x,0.0008954518786727,0.0002945983148865,3.0395689093391156,0.7412666896112388,0.7587582977389438
ICOD_to_CS_4level,irno,corrected_lmax8,y,0.001002438414812,0.0002943117537682,3.4060427488109117,0.693494256316466,0.715357551662776
ICOD_to_CS_4level,irno,corrected_lmax8,z,0.0009040584753018,0.0003972357448102,2.2758739290537937,0.7794770320483643,0.8295390381429566
ICOD_to_CS_4level,tempest,tempest,smooth1,7.8003388429233e-05,7.8003388429233e-05,1.0,1.1788081938581307,0.9966905518200372
ICOD_to_CS_4level,tempest,tempest,smooth2,9.940774181344356e-05,9.940774181344356e-05,1.0,1.076173604128598,0.9992094723488848
ICOD_to_CS_4level,tempest,tempest,x,0.0002945983148865,0.0002945983148865,1.0,1.0612354846491647,0.9996501135437555
ICOD_to_CS_4level,tempest,tempest,y,0.0002943117537682,0.0002943117537682,1.0,1.0663058589591954,0.9992993097917248
ICOD_to_CS_4level,tempest,tempest,z,0.0003972357448102,0.0003972357448102,1.0,1.0315812856589237,0.9997189355858268
CS_to_RLL_3level,irno,base,smooth1,0.0008427130336958,0.0004629036058523,1.820493560736459,0.3864646992484369,0.4818463425357309
